symbol	tvl_usd	volume_24h_usd	holders	liquidity_locked	top10_holder_pct	contract_age_days	contract
NOVA	18000000	4500000	18000	yes	24	420	0xffffffffffffffffffffffffffffffff00000001
KITE	12500000	3200000	14000	yes	29	300	0xffffffffffffffffffffffffffffffff00000002
LUMA	9000000	2100000	11000	yes	35	210	0xffffffffffffffffffffffffffffffff00000003
MOSS	5000000	900000	5000	yes	40	90	0xffffffffffffffffffffffffffffffff00000004
RUGY	15000000	3600000	22000	yes	20	180	0xffffffffffffffffffffffffffffffff00000005
RUGX	8000000	5000000	16000	no	85	12	0xffffffffffffffffffffffffffffffff00000006
TINY	4999999	800000	9000	yes	30	150	0xffffffffffffffffffffffffffffffff00000007
FEW	7000000	1100000	4999	yes	30	150	0xffffffffffffffffffffffffffffffff00000008
OPEN	7500000	1300000	8500	no	30	150	0xffffffffffffffffffffffffffffffff00000009
WHALE	8000000	1400000	9000	yes	40.1	150	0xffffffffffffffffffffffffffffffff0000000a
FRESH	8500000	1500000	9500	yes	30	89	0xffffffffffffffffffffffffffffffff0000000b
DUST	1400000	120000	1200	no	68	25	0xffffffffffffffffffffffffffffffff0000000c
MIST	4200000	410000	7200	yes	32	130	0xffffffffffffffffffffffffffffffff0000000d
PEBB	6600000	950000	3100	yes	31	240	0xffffffffffffffffffffffffffffffff0000000e
TIDE	11500000	1600000	12000	no	26	220	0xffffffffffffffffffffffffffffffff0000000f
ORBX	16000000	2800000	16000	yes	57	330	0xffffffffffffffffffffffffffffffff00000010
SPRO	6900000	760000	6900	yes	25	34	0xffffffffffffffffffffffffffffffff00000011
EMBER	2100000	260000	2900	yes	44	55	0xffffffffffffffffffffffffffffffff00000012
FROST	4900000	680000	6700	yes	38	100	0xffffffffffffffffffffffffffffffff00000013
DAWN	6100000	920000	4800	yes	28	180	0xffffffffffffffffffffffffffffffff00000014
DRIFT	13000000	2600000	15000	no	35	410	0xffffffffffffffffffffffffffffffff00000015
REED	5400000	720000	5900	yes	42	260	0xffffffffffffffffffffffffffffffff00000016
CLOUD	9300000	1250000	8200	yes	22	60	0xffffffffffffffffffffffffffffffff00000017
GLINT	3700000	390000	5100	yes	18	400	0xffffffffffffffffffffffffffffffff00000018
PINE	8100000	980000	4200	yes	39	120	0xffffffffffffffffffffffffffffffff00000019
WAVE	10000000	1700000	10000	no	20	180	0xffffffffffffffffffffffffffffffff0000001a
BLOOM	6800000	830000	7200	yes	65	310	0xffffffffffffffffffffffffffffffff0000001b
DUNE	5800000	640000	5600	yes	30	45	0xffffffffffffffffffffffffffffffff0000001c
FLINT	4800000	430000	4500	no	47	70	0xffffffffffffffffffffffffffffffff0000001d
WISP	1200000	85000	800	no	90	7	0xffffffffffffffffffffffffffffffff0000001e
